﻿Name,Frequency,CountryCode
ÖMÜR,1249,TR
DEVRİŞ,1234,TR
HÜSEYİN HÜSNÜ,1233,TR
NEJAT,1233,TR
SEZAYİ,1230,TR
ABDURREZAK,1229,TR
HALİL,1223,DE
MUSA,1223,SY
ORUÇ,1223,TR
NURİTTİN,1221,TR
SEDRETTİN,1220,TR
ŞİRİN,1219,TR
RUŞEN,1213,TR
İBRAHİM,1206,BG
MEHMET ARİF,1202,TR
KEMAL,1200,DE
MEHMET NEZİR,1200,TR
MEHMET REŞAT,1197,TR
ÖNER,1196,TR
KAŞİF,1190,TR
MEHMET BEŞİR,1187,TR
MEHMET İHSAN,1185,TR
ŞAFAK,1181,TR
VASFİ,1178,TR
MAZLUM,1176,TR
ZABİT,1175,TR
MÜNÜR,1174,TR
TUĞRUL,1169,TR
METE,1164,TR
NAHİT,1160,TR
ZEHNİ,1159,TR
ŞERİF ALİ,1159,TR
MEHMET ŞEFİK,1155,TR
CASİM,1152,TR
ABDULAZİZ,1149,SY
FEDAİ,1145,TR
ALİ EKBER,1137,TR
MİTAT,1135,TR
ZİKRİ,1132,TR
KÜRŞAT,1131,TR
ŞAHİSMAİL,1131,TR
FİLİT,1125,TR
HİCABİ,1121,TR
MEHDİ,1116,TR
SÜRMELİ,1116,TR
KADEM,1114,TR
ALİHAN,1109,TR
RİDVAN,1107,TR
ÇAĞLAR,1106,TR
TANJU,1103,TR
DİNÇER,1101,TR
ÖMER ALİ,1097,TR
ATALAY,1096,TR
KALENDER,1095,TR
FAZİL,1094,TR
ECEVİT,1092,TR
SİNO,1091,TR
CEYHUN,1089,TR
HALAF,1085,TR
CEYHAN,1078,TR
KUBİLAY,1075,TR
ÜMÜT,1075,TR
ABDULLAH,1074,DE
CABBAR,1074,TR
FADİL,1074,TR
ALPARSLAN,1069,TR
CEMALİ,1065,TR
ABDÜLAZİZ,1063,TR
ZEKERİYA,1061,SY
SULHATTİN,1060,TR
SELAHETTİN,1059,TR
ALİ FUAT,1057,TR
ALİOSMAN,1056,TR
ATA,1056,TR
CİMŞİT,1056,TR
ZİVER,1050,TR
RAUF,1038,TR
MÜJDAT,1036,TR
CEVHER,1034,TR
AYVAZ,1032,TR
ERGUN,1030,TR
KUDDUSİ,1029,TR
ZİYAETTİN,1029,TR
CUMA ALİ,1027,TR
KAYHAN,1027,TR
AMMAR,1026,SY
FURKAN,1024,TR
HASAN FEHMİ,1023,TR
NAFİ,1022,TR
MEHMET,1019,NL
MEMET EMİN,1019,TR
ÖZAY,1018,TR
AYDOĞAN,1017,TR
SERHAN,1017,TR
ENSAR,1016,TR
HURŞUT,1015,TR
ATAKAN,1012,TR
HALİL,1009,BG
MEHMET KEMAL,1007,TR
ŞEMSEDDİN,1006,TR
MEHMET CEMAL,1003,TR
SAYİT,1003,TR
CABİR,999,TR
BİLGİN,997,TR
FERRUH,994,TR
TELAT,993,TR
PEHLÜL,991,TR
MUHAMMET ALİ,989,TR
ALİSEYDİ,988,TR
MÜMİN,988,BG
MULLA,985,TR
ÖMER OSMAN,985,TR
İLKAY,984,TR
KELEŞ,983,TR
YAŞAR,982,DE
NAZİR,981,TR
ALO,979,TR
MELİK,974,TR
ERCÜMENT,973,TR
ZİYATTİN,972,TR
GÜROL,970,TR
KARABEY,963,TR
MERT,963,TR
OLGUN,963,TR
CANİP,962,TR
GÜRHAN,961,TR
MUSTAFA,959,NL
CİNDİ,956,TR
ÇERKEZ,950,TR
GÜNDÜZ,949,TR
ÖMER LÜTFİ,947,TR
FEYAT,945,TR
SALİH ZEKİ,942,TR
ZAHİT,935,TR
NESİP,926,TR
REİS,923,TR
HÜDAVERDİ,921,TR
FERAMUZ,916,TR
BAHAETTİN,913,TR
MÜMÜN,913,TR
TARKAN,912,TR
ABDUSSELAM,907,TR
ÖZTÜRK,904,TR
RECEP ALİ,903,TR
KURTULUŞ,900,TR
MEHMET CEMİL,898,TR
METİN,896,DE
ARAFAT,893,TR
RECEP,883,DE
RECEP,875,BG
MİHRALİ,873,TR
NECATTİN,871,TR
ESER,867,TR
ZEYNELABİDİN,861,TR
HÜSMEN,857,TR
ORHAN,857,DE
ASKERİ,856,TR
KİBAR,855,TR
MEHMET,855,SY
SADUN,855,TR
AHMET DURAN,854,TR
KARİP,854,TR
ALAİTTİN,852,TR
AYDEMİR,852,TR
MEHMET,851,AT
MEHMET,850,BE
MEHMET HAYRİ,850,TR
ZARİF,848,TR
ALLAHVERDİ,847,TR
BESTAMİ,841,TR
GÜRAY,840,TR
MEHMET HİLMİ,837,TR
ABDULHAMİD,835,SY
İSAK,834,TR
CEMİL,830,SY
APTULLAH,828,TR
GİYASETTİN,828,TR
MAHMUT,827,DE
MEHMET HALİL,818,TR
CEYLAN,816,TR
ALİ HİKMET,814,TR
CENK,813,TR
MEHMET HALİT,813,TR
MEHMET NUR,813,TR
ERMAN,811,TR
ŞİHO,811,TR
ABDULMUTTALİP,810,TR
FATİH MEHMET,810,TR
LEZGİN,807,TR
MACİT,807,TR
NABİ,804,TR
TAHA,804,TR
NAMİ,803,TR
TÜRKER,800,TR
SAYİM,799,TR
HÜSEYİN ALİ,798,TR
YUSUF KENAN,798,TR
CESUR,797,TR
HALİT,797,SY
GÜRGİN,796,TR
GÜZEL,795,TR
MUHAMMED ALİ,794,SY
MUSTAFA,794,BE
MOHAMED,788,SY
SALİH,788,BG
KASİM,784,TR
MEHMET LATİF,784,TR
KHALED,782,SY
İMRAN,780,TR
MEHMET,779,FR
REMAZAN,778,TR
KADİR,777,DE
MEHMET KAMİL,776,TR
HAMİD,773,SY
İBRAHİM ETEM,772,TR
MUSTAFA,771,FR
YADİGAR,770,TR
NESİMİ,769,TR
ESET,767,TR
MEHMET BAKİ,766,TR
ABDURRAZAK,765,TR
