Surname,Frequency
LALE,1469
TURAL,1469
YETİŞ,1468
ÜLKÜ,1468
GÜRER,1467
ÇOPUR,1467
OLCAY,1466
UYAN,1466
GARİP,1461
EZER,1458
ADA,1456
GEZEN,1456
GÖRGÜN,1452
BAYRAMOĞLU,1450
ERKUL,1450
KAPAN,1450
ALPAY,1448
AYAS,1447
AĞAÇ,1447
AKYEL,1445
KANBUR,1444
ERKEN,1443
YEŞİLKAYA,1443
DÜZENLİ,1442
SAYDAM,1442
TOKTAŞ,1440
CELEP,1439
ŞENCAN,1437
ESKİ,1429
SEYMEN,1429
KARADOĞAN,1428
ÜN,1428
AKGÖZ,1426
OKYAY,1423
GENÇOĞLU,1419
ÖZATA,1419
YERLİ,1418
ÇEBİ,1414
ÖZARSLAN,1414
İZGİ,1412
TOPLU,1409
GÖKER,1406
GEMİCİ,1404
DÜZ,1400
BABAYİĞİT,1398
KÖKEN,1394
PAK,1391
SÜRMELİ,1385
DORUK,1384
HARMAN,1379
SUNAR,1375
AKŞİT,1374
ERKMEN,1374
SEL,1374
TERZİOĞLU,1373
MARAL,1370
ARTAN,1369
GÜLTEPE,1367
ÖKTEM,1367
ESİN,1363
GÖNÜLTAŞ,1362
SAKAR,1362
BAŞTUĞ,1358
SERDAR,1358
TEKTAŞ,1357
KUZUCU,1354
MENEKŞE,1352
SEMERCİ,1351
PULAT,1349
BAYLAN,1346
KARAGÖL,1346
GÖKHAN,1342
ERBEK,1341
EREL,1341
TÜRKEL,1339
YURTTAŞ,1338
BOZOĞLU,1337
AŞAN,1334
SAĞ,1333
YUMUŞAK,1329
AYTAŞ,1328
BAYRAKDAR,1328
SARİ,1328
ALKAYA,1327
BEYHAN,1327
ÖKMEN,1327
GÖRÜR,1326
DURAL,1323
DİNCER,1323
MUMCU,1319
BAŞOL,1316
EKE,1312
AYGÜL,1307
SAVRAN,1305
ÖNEL,1302
DİKER,1301
BABUR,1300
BAZ,1299
ERSİN,1296
KÖKLÜ,1294
İKİZ,1294
CEBE,1292
TOKLU,1286
GÜLSOY,1284
YAMAÇ,1284
ÖZEK,1282
DUMLU,1281
YAPAR,1280
ŞAHİNOĞLU,1279
YÜREKLİ,1278
ATASEVER,1274
AKDUMAN,1273
ULUĞ,1273
KOLCU,1272
ÖZTOPRAK,1272
ATASEVEN,1269
AYDENİZ,1269
KARAÇAM,1269
BAHÇECİ,1268
SÜSLÜ,1266
EKMEKÇİ,1263
HAYTA,1263
GEDİKLİ,1262
ÇAPAN,1262
SÜER,1261
ULUÇAY,1260
ÖZBAŞ,1259
DİREK,1258
KEKEÇ,1256
KUMRU,1253
ÜZÜMCÜ,1251
AYTEN,1250
SEVGİ,1250
DAĞTEKİN,1245
DİLMAÇ,1245
KABLAN,1245
SEYREK,1245
KÖMÜR,1242
GİDER,1240
ÇAMUR,1238
SÜRER,1235
ALGAN,1233
YENİGÜN,1233
KARAKUZU,1231
ABA,1229
KARPUZ,1228
KOCAKAYA,1226
SOYTÜRK,1226
YALVAÇ,1223
KAŞ,1218
ECER,1217
ÇİLİNGİR,1217
ÖZKÖK,1217
TOPBAŞ,1216
USTAOĞLU,1216
GÜMÜŞTAŞ,1214
KARAER,1213
ÇATAK,1211
BAYER,1210
CERİT,1209
ADAK,1207
BİÇEN,1207
TOKAT,1204
KUYUCU,1203
BALOĞLU,1201
KUYUMCU,1200
RÜZGAR,1200
CANDEMİR,1199
KAVAS,1199
KESEN,1198
PAKSOY,1198
ERKUŞ,1195
SAPMAZ,1195
SAMUR,1193
ESKİCİ,1192
AKER,1189
ARAL,1189
TUTAL,1189
ÖDEMİŞ,1189
DAVULCU,1188
DELİ,1188
HAMARAT,1187
OĞUL,1186
EMEN,1185
KARABAY,1185
TEMÜR,1185
KÖR,1184
BABA,1183
AYATA,1182
ALTUNAY,1181
DEMİRBAĞ,1180
YENİLMEZ,1178
EMİROĞLU,1177
OKUTAN,1177
İŞLEYEN,1177
ERKOL,1176
BURAK,1173
BADEM,1170
PEKDEMİR,1170
ÇULHA,1169
ERÇİN,1168
GENÇTÜRK,1168
AKÇAKAYA,1167
ORTAÇ,1166
GÜLAY,1165
MARANGOZ,1164
TERCAN,1164
KARAGÜLLE,1163
